property_type,area,bathrooms,bedrooms,parking_spots,neighborhood,rent,more_than_1_floor,furnished,barbecue_grill,kitchen,pool,beach_distance,latitude,longitude
apartment,228,4,3,1,Boa Viagem,6000,0,0,0,0,0,0.15767397283147505,-8.1301011,-34.9001821
apartment,112,4,4,2,Boa Viagem,3500,0,0,1,0,1,0.2783799917043775,-8.1438751,-34.9071533
apartment,160,5,4,3,Boa Viagem,6232,0,0,0,0,1,0.12003533748353758,-8.1396537,-34.9032052
apartment,75,3,3,2,Tamarineira,3200,0,0,0,0,1,3.835352845447469,-8.0324159,-34.9010191
apartment,200,5,5,3,Boa Viagem,6000,0,0,0,0,0,0.16639919534284947,-8.1335303,-34.9020993
apartment,69,2,2,1,Parnamirim,2070,0,0,0,0,0,4.620483066668919,-8.0344855,-34.908601
apartment,68,3,2,1,Casa Amarela,2300,0,0,1,0,1,5.38320697358781,-8.0272105,-34.9141954
apartment,57,2,2,1,Boa Viagem,2683,0,1,1,0,1,0.5425408298715771,-8.1105394,-34.8946475
apartment,42,1,1,0,Parnamirim,2280,0,1,0,0,0,5.347793314588808,-8.0331482,-34.9150779
apartment,79,2,2,2,Várzea,1260,0,0,0,0,0,9.738504544628084,-8.0333634,-34.9551353
apartment,167,3,4,3,Boa Viagem,6500,0,0,0,0,0,0.15163604861038596,-8.1015809,-34.8864411
apartment,32,1,1,1,Parnamirim,1600,0,1,0,0,0,4.620483066668919,-8.0344855,-34.908601
apartment,58,1,2,1,Pina,3600,0,0,0,0,1,0.0329553595213586,-8.0973128,-34.8834512
apartment,34,1,1,1,Boa Vista,1600,0,0,0,0,0,2.369172199949736,-8.06305625,-34.88963173631924
apartment,110,3,3,2,Boa Viagem,4500,0,1,0,0,0,0.041568594120322606,-8.1294922,-34.8989414
apartment,100,1,3,0,Boa Vista,1650,0,0,0,0,0,2.3437239625230526,-8.0617501,-34.8872674
apartment,54,2,2,1,Graças,3000,0,1,0,0,1,3.7356042941082754,-8.0517464,-34.899125
apartment,57,1,3,1,Espinheiro,1400,0,0,0,0,0,3.0895962176013763,-8.0492564,-34.893749
apartment,58,2,2,1,Casa Forte,2830,0,1,0,0,1,5.876997050940563,-8.0326434,-34.9198542
apartment,80,1,3,2,Graças,2800,0,0,0,0,1,3.8804265311527475,-8.0483443,-34.901319
apartment,190,2,4,2,Boa Viagem,4000,0,0,0,0,1,0.21986158231237882,-8.1051341,-34.8877917
apartment,160,4,4,1,Boa Viagem,3400,0,0,0,0,0,0.31140339145325857,-8.1259508,-34.9002713
apartment,59,2,3,1,Madalena,2200,0,0,1,0,1,3.9020169322531344,-8.0574239,-34.9037082
apartment,30,1,1,1,Boa Viagem,1900,0,1,0,0,1,0.43443356755029666,-8.1097853,-34.8925737
apartment,150,5,4,3,Casa Forte,6750,0,0,1,0,1,5.984225635146894,-8.0316933,-34.9206995
apartment,70,2,2,1,Boa Viagem,1650,0,0,1,1,1,1.2644979036650392,-8.1266931,-34.9099144
apartment,98,2,3,2,Boa Viagem,2500,0,0,1,0,1,0.7442258527899962,-8.1273016,-34.9050352
apartment,276,5,4,3,Ilha do Retiro,6543,0,1,0,0,1,3.2630682028005755,-8.0643765,-34.9016273
apartment,135,4,4,2,Boa Viagem,8500,0,1,0,0,1,0.741607106773275,-8.117429,-34.9010333
apartment,270,4,4,4,Boa Viagem,14000,0,1,0,0,1,0.030947768686880064,-8.1364165,-34.9016825
apartment,94,3,3,2,Boa Viagem,2990,0,1,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,119,2,3,2,Boa Viagem,2800,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,103,3,3,2,Boa Viagem,3400,0,0,0,0,0,0.36702594540549566,-8.1071775,-34.8913662
apartment,81,2,2,1,Pina,2500,0,1,0,0,1,0.9871099227246227,-8.0868628,-34.8897746
apartment,88,3,3,2,Madalena,2700,0,0,0,0,1,4.680627819661518,-8.0508853,-34.9082074
apartment,170,6,4,3,Imbiribeira,9000,0,0,0,0,0,1.511031147362302,-8.10821805,-34.90360317203264
apartment,100,3,4,1,Boa Viagem,6430,0,1,0,0,1,0.4668463644206021,-8.1373649,-34.9062272
apartment,50,2,2,1,Boa Viagem,2400,0,0,1,0,1,1.0884510208006493,-8.1242291,-34.9071189
apartment,32,1,1,1,Paissandu,1750,0,1,0,0,1,3.25811236839663,-8.0610083,-34.8990999
apartment,74,1,2,1,Boa Viagem,1700,0,0,0,0,0,1.1344165602190488,-8.1398987,-34.9138228
apartment,136,3,3,2,Boa Viagem,4640,0,0,0,0,0,0.24360614837284142,-8.1438144,-34.9067542
apartment,140,6,4,2,Boa Viagem,4835,0,0,1,0,1,0.5425408298715771,-8.1105394,-34.8946475
