title,address,area,bathrooms,bedrooms,parking_spots,extra_contents,rent,fee
"Casa com 3 Quartos para Aluguel, 100m²","Rua Aguanil, 159 - Jardim São Paulo, Recife - PE",100,2,3,--,"['Aceita animais', 'Jardim', 'Estacionamento ']",1.200,
"Casa com 11 Quartos para Aluguel, 10m²","Rua do Cupim, 70 - Graças, Recife - PE",10,4,11,4,"['Garagem', 'Quintal', 'Cozinha', 'Área de serviço']",7.900,
"Casa com  Quarto para Aluguel, 667m²","Rua Carlos Porto Carreiro, 86 - Boa Vista, Recife - PE",667,2,1,1,,12.000,
"Casa com 12 Quartos para Aluguel, 558m²","Estrada do Arraial, 3264 - Casa Amarela, Recife - PE",558,4,12,30,['Escritório'],15.000,
"Casa com 3 Quartos para Aluguel, 120m²","Pina, Recife - PE",120,2,3,--,"['Varanda', 'Quintal', 'Área de serviço']",1.491,
Casa com 3 Quartos para Venda/Aluguel 370m²,"Rua Professor Mussa Hazin, 13 - Iputinga, Recife - PE",370,4,3,6,"['Piscina', 'Quintal', 'Cozinha', 'Área de serviço', 'Escritório']",5.000,
"Casa com 4 Quartos para Aluguel, 629m²","Apipucos, Recife - PE",629,1,4,--,,8.000,
"Casa com 2 Quartos para Aluguel, 55m²","Rua Itapiranga, 20 - Iputinga, Recife - PE",55,1,2,--,,500,
"Casa com 19 Quartos para Aluguel, 700m²","Rua Cardeal Arcoverde, 308 - Graças, Recife - PE",700,6,19,6,,20.000,
"Casa com 4 Quartos para Aluguel, 190m²","Rua Escritor Cezário de Melo, 55 - Várzea, Recife - PE",190,1,4,5,,3.500,
"Casa com 4 Quartos para Aluguel, 260m²","Fundão, Recife - PE",260,3,4,6,"['Garagem', 'Cozinha', 'Lavanderia']",2.500,
"Casa com 3 Quartos para Aluguel, 100m²","Rua Rio Maranhão, 134 - Ipsep, Recife - PE",100,2,3,1,"['Garagem', 'Cozinha', 'Área de serviço']",1.500,
"Casa com 8 Quartos para Aluguel, 10m²","Cidade Universitária, Recife - PE",10,4,8,4,"['Quintal', 'Cozinha', 'Área de serviço']",5.000,
"Casa com 3 Quartos para Aluguel, 440m²","Rua Marques Amorim, 83 - Boa Vista, Recife - PE",440,2,3,2,,2.800,
Casa com 5 Quartos à Venda/Aluguel 369m²,"Rua Inhamuns, 98 - Campo Grande, Recife - PE",369,3,5,5,,4.950,
"Casa com 8 Quartos para Aluguel, 439m²","Rua Venezuela, 195 - Espinheiro, Recife - PE",439,2,8,8,,7.000,
"Casa com 6 Quartos para Aluguel, 200m²","Rua Venezuela, 181 - Espinheiro, Recife - PE",200,2,6,5,,6.000,
"Casa com 3 Quartos para Aluguel, 10m²","Rua André Bezerra, 544 - Cajueiro, Recife - PE",10,3,3,2,"['Quintal', 'Área de serviço']",1.700,
"Casa com 9 Quartos para Aluguel, 10m²","Rua Monsenhor Júlio Maria, 234 - Madalena, Recife - PE",10,4,9,3,"['Cozinha', 'Área de serviço']",4.400,
Casa com 5 Quartos à Venda/Aluguel 369m²,"Rua Inhamuns - Campo Grande, Recife - PE",369,3,5,--,['Aceita animais'],4.950,
"Casa com 4 Quartos para Aluguel, 608m²","Rua Marechal Deodoro, 235 - Encruzilhada, Recife - PE",608,3,4,6,"['Cozinha', 'Área de serviço', 'Vigia']",12.000,
"Casa com 9 Quartos para Aluguel, 200m²","Santo Amaro, Recife - PE",200,3,9,6,"['Cozinha', 'Área de serviço']",5.000,
Casa com 5 Quartos à Venda/Aluguel 290m²,"Rua Tito Lívio Soares, 90 - Poço, Recife - PE",290,2,5,2,"['Piscina', 'Aceita animais', 'Ar-condicionado', 'Conexão à internet', 'Interfone']",9.500,
"Casa com 5 Quartos para Aluguel, 400m²","Avenida Flor de Santana, 287 - Parnamirim, Recife - PE",400,7,5,4,,7.500,
"Casa com 4 Quartos para Aluguel, 150m²","Rua Doutor Geraldo de Andrade - Espinheiro, Recife - PE",150,1,4,3,,3.500,
"Casa com 4 Quartos para Aluguel, 260m²","Rua Sebastião Malta Arcoverde, 115 - Parnamirim, Recife - PE",260,5,4,2,['Área de serviço'],4.200,
Casa com 4 Quartos à Venda/Aluguel 240m²,"Rua José Hipólito Cardoso, 364 - Boa Viagem, Recife - PE",240,4,4,2,"['Quintal', 'Área de serviço', 'Escritório', 'Depósito', 'Interfone']",2.900,
"Casa com 2 Quartos para Aluguel, 65m²","Casa Amarela, Recife - PE",65,1,2,--,"['Quintal', 'Cozinha']",650,
"Casa com 3 Quartos para Aluguel, 490m²","Rua Antônio Batista de Souza, 361 - Apipucos, Recife - PE",490,1,3,8,"['Piscina', 'Garagem', 'Cozinha', 'Jardim', 'Área de serviço']",25.000,
"Casa com 10 Quartos para Aluguel, 310m²","Rua Feliciano Gomes - Derby, Recife - PE",310,7,10,10,"['Estacionamento para visitantes', 'Escada', 'Acesso para deficientes']",10.000,
"Casa com 11 Quartos para Aluguel, 336m²","Rua da Harmonia, 192 - Casa Amarela, Recife - PE",336,4,11,5,,5.000,
"Casa com  Quarto para Aluguel, 30m²","Rua Matoso da Câmara, 106 - Tejipió, Recife - PE",30,1,1,--,,360,
"Casa com 6 Quartos para Aluguel, 212m²","Rua Cabo Honório, 30 - Tamarineira, Recife - PE",212,3,6,1,['Cozinha'],2.660,
"Casa com 2 Quartos para Aluguel, 200m²","Rua Professor Sílvio da Cunha Santos, 522 - San Martin, Recife - PE",200,2,2,3,"['Ar-condicionado', 'Aceita animais']",2.000,
"Casa com 3 Quartos para Aluguel, 172m²","Rua Cláudio Brotherhood, 158 - Cordeiro, Recife - PE",172,1,3,3,"['Garagem', 'Quintal', 'Cozinha', 'Jardim', 'Área de serviço']",1.200,
"Casa com 3 Quartos para Aluguel, 150m²","Rua Vicente do Rego Monteiro, 149 - Cordeiro, Recife - PE",150,1,3,2,"['Piscina', 'Churrasqueira', 'Quintal', 'Cozinha', 'Área de serviço']",2.100,
"Apartamento com 3 Quartos para Aluguel, 136m²","Rua Visconde de Jequitinhonha, 2690 - Boa Viagem, Recife - PE",136,3,3,2,"['Elevador', 'Condomínio fechado', 'Salão de festas', 'Aceita animais', 'Jardim']",3.200,
"Apartamento com 3 Quartos para Aluguel, 90m²","Rua Padre Carapuceiro, 821 - Boa Viagem, Recife - PE",90,3,3,2,"['Mobiliado', 'Piscina', 'Elevador', 'Academia', 'Ar-condicionado']",6.000,
"Apartamento com 3 Quartos para Aluguel, 70m²","Boa Viagem, Recife - PE",70,2,3,1,"['Piscina', 'Elevador', 'Varanda', 'Churrasqueira', 'Playground']",2.100,
"Apartamento com 2 Quartos para Aluguel, 50m²","Torre, Recife - PE",50,1,2,1,"['Piscina', 'Elevador', 'Churrasqueira', 'Playground', 'Salão de festas']",1.300,"
                      R$ 408
                  "
"Apartamento com  Quarto para Aluguel, 28m²","Rua Setúbal - Boa Viagem, Recife - PE",28,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Academia', 'Ar-condicionado']",2.000,
"Apartamento com 4 Quartos para Aluguel, 178m²","Avenida Boa Viagem, 1590 - Boa Viagem, Recife - PE",178,5,4,3,"['Piscina', 'Área de serviço', 'Quadra poliesportiva', 'Vista para o mar']",7.900,"
                      R$ 1.715
                  "
"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Taquaritinga, 149 - Casa Amarela, Recife - PE",65,1,2,1,"['Piscina', 'Elevador', 'Varanda', 'Churrasqueira', 'Condomínio fechado']",2.300,"
                      R$ 525
                  "
Apartamento com 4 Quartos à Venda/Aluguel 189m²,"Rua Luiz de Faria Barbosa, 364 - Boa Viagem, Recife - PE",189,5,4,3,"['Piscina', 'Mobiliado', 'Elevador', 'Academia', 'Churrasqueira']",5.800,"
                      R$ 1.657
                  "
"Apartamento com 3 Quartos para Aluguel, 119m²","Boa Viagem, Recife - PE",119,2,3,2,"['Piscina', 'Elevador', 'Varanda', 'Churrasqueira', 'Playground']",2.800,
"Apartamento com 4 Quartos para Aluguel, 203m²","Avenida Beira Rio - Ilha do Retiro, Recife - PE",203,3,4,3,"['Piscina', 'Elevador', 'Varanda', 'Academia', 'Churrasqueira']",6.500,"
                      R$ 2.000
                  "
"Apartamento com  Quarto para Aluguel, 40m²","Rua Aviador Severiano Lins - Boa Viagem, Recife - PE",40,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Churrasqueira', 'Condomínio fechado']",1.800,
"Apartamento com 3 Quartos para Aluguel, 85m²","Rua Conde de Irajá, 782 - Torre, Recife - PE",85,2,3,1,,870,"
                      R$ 270
                  "
"Apartamento com  Quarto para Aluguel, 10m²","Rua Desembargador João Paes - Boa Viagem, Recife - PE",10,1,1,1,"['Salão de festas', 'Cozinha', 'Jardim', 'Área de serviço', 'Espaço verde / Parque']",1.750,
"Apartamento com 3 Quartos para Aluguel, 166m²","Rua Faustino Porto - Boa Viagem, Recife - PE",166,3,3,2,"['Piscina', 'Área de serviço', 'Armário na cozinha', 'Interfone', 'Mais de um andar']",2.600,"
                      R$ 690
                  "
"Apartamento com  Quarto para Aluguel, 40m²","Rua Sá e Souza - Boa Viagem, Recife - PE",40,1,1,1,"['Piscina', 'Elevador', 'Varanda', 'Ar-condicionado', 'Condomínio fechado']",1.650,
"Apartamento com 4 Quartos para Aluguel, 180m²","Avenida Boa Viagem - Boa Viagem, Recife - PE",180,4,4,3,"['Piscina', 'Elevador', 'Varanda', 'Condomínio fechado', 'Playground']",7.900,"
                      R$ 1.715
                  "
"Apartamento com 2 Quartos para Aluguel, 71m²","Rua Amália Bernardino de Sousa, 532 - Boa Viagem, Recife - PE",71,2,2,1,"['Mobiliado', 'Piscina', 'Elevador', 'Academia', 'Ar-condicionado']",3.200,
Apartamento com 4 Quartos à Venda/Aluguel 178m²,"Espinheiro, Recife - PE",178,2,4,--,"['Piscina', 'Elevador', 'Varanda', 'Churrasqueira', 'Playground']",6.000,
"Apartamento com  Quarto para Aluguel, 34m²","Espinheiro, Recife - PE",34,1,1,1,"['Piscina', 'Elevador', 'Academia', 'Ar-condicionado', 'Playground']",1.900,
"Apartamento com 2 Quartos para Aluguel, 55m²","Avenida Conselheiro Aguiar, 4010 - Boa Viagem, Recife - PE",55,1,2,1,,2.800,
"Casa com 6 Quartos para Aluguel, 240m²","Rua Joaquim Carneiro da Silva, 156 - Pina, Recife - PE",240,5,6,8,"['Quintal', 'Aceita animais', 'Área de serviço', 'Escritório', 'Conexão à internet']",14.200,
"Apartamento com 2 Quartos para Aluguel, 55m²","Boa Viagem, Recife - PE",55,1,2,1,"['Mobiliado', 'Piscina', 'Elevador', 'Varanda', 'Ar-condicionado']",2.700,
"Apartamento com 4 Quartos para Aluguel, 140m²","Rua Aviador Severiano Lins, 140 - Boa Viagem, Recife - PE",140,6,4,2,"['Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira', 'Condomínio fechado']",4.100,"
                      R$ 735
                  "
"Apartamento com  Quarto para Aluguel, 30m²","Rua Francisco da Cunha, 408 - Boa Viagem, Recife - PE",30,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira']",1.700,
"Apartamento com 3 Quartos para Aluguel, 95m²","Rua dos Navegantes - Boa Viagem, Recife - PE",95,3,3,2,"['Piscina', 'Salão de festas', 'Segurança 24h', 'Interfone', 'Vista para o mar']",4.500,
"Apartamento com 2 Quartos para Aluguel, 50m²","Rua Coronel Anízio Rodrigues Coelho, 225 - Boa Viagem, Recife - PE",50,2,2,1,"['Piscina', 'Elevador', 'Varanda', 'Ar-condicionado', 'Churrasqueira']",2.400,
"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Cônego Barata, 3811 - Tamarineira, Recife - PE",65,2,2,1,"['Mobiliado', 'Ar-condicionado', 'Cozinha', 'Área de serviço']",1.650,
"Apartamento com 2 Quartos para Aluguel, 62m²","Rua Padre Bernardino Pessoa, 303 - Boa Viagem, Recife - PE",62,1,2,1,"['Piscina', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Circuito de segurança']",2.000,
"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Aviador Severiano Lins - Boa Viagem, Recife - PE",65,2,2,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira']",2.800,
Apartamento com 3 Quartos para Venda/Aluguel 120m²,"Boa Viagem, Recife - PE",120,3,3,2,"['Piscina', 'Elevador', 'Varanda', 'Churrasqueira', 'Playground']",5.463,
"Apartamento com 3 Quartos para Aluguel, 75m²","Boa Viagem, Recife - PE",75,2,3,1,"['Piscina', 'Elevador', 'Varanda', 'Churrasqueira', 'Playground']",2.400,
"Apartamento com 4 Quartos para Aluguel, 177m²","Rua Jornalista Adeth Leite, 28 - Boa Viagem, Recife - PE",177,4,4,3,"['Piscina', 'Playground']",6.700,"
                      R$ 1.000
                  "
"Apartamento com  Quarto para Aluguel, 30m²","Rua Nunes Machado, 1132 - Soledade, Recife - PE",30,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Academia', 'Ar-condicionado']",2.100,
"Apartamento com  Quarto para Aluguel, 25m²","Rua das Ninfas - Soledade, Recife - PE",25,1,1,1,"['Mobiliado', 'Elevador', 'Ar-condicionado', 'Playground', 'Salão de festas']",1.500,
"Apartamento com 3 Quartos para Aluguel, 165m²","Rua Mamanguape, 59 - Boa Viagem, Recife - PE",165,3,3,3,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado']",5.500,
"Apartamento com 2 Quartos para Aluguel, 63m²","Rua Rodrigues Ferreira, 45 - Caxangá, Recife - PE",63,2,2,2,"['Elevador', 'Varanda', 'Condomínio fechado', 'Playground', 'Salão de festas']",860,"
                      R$ 260
                  "
"Apartamento com  Quarto para Aluguel, 32m²","Rua Estácio Coimbra, 171 - Paissandu, Recife - PE",32,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Academia', 'Ar-condicionado']",1.750,
"Apartamento com 2 Quartos para Aluguel, 48m²","Rua Professora Anunciada da Rocha Melo - Madalena, Recife - PE",48,1,2,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado']",2.100,
Apartamento com 4 Quartos à Venda/Aluguel 170m²,"Rua Le Parc - Imbiribeira, Recife - PE",170,6,4,3,,7.500,"
                      R$ 1.500
                  "
"Apartamento com 2 Quartos para Aluguel, 87m²","Rua Januário Barbosa, 232 - Madalena, Recife - PE",87,3,2,2,"['Piscina', 'Elevador', 'Varanda', 'Academia', 'Ar-condicionado']",3.300,"
                      R$ 750
                  "
"Apartamento com 4 Quartos para Aluguel, 276m²","Avenida Beira Rio, 302 - Ilha do Retiro, Recife - PE",276,5,4,3,"['Mobiliado', 'Piscina', 'Elevador', 'Playground', 'Salão de festas']",4.500,"
                      R$ 2.043
                  "
"Apartamento com 2 Quartos para Aluguel, 54m²","Rua dos Operários, 655 - Torre, Recife - PE",54,2,2,1,"['Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira', 'Condomínio fechado']",1.900,
Apartamento com 4 Quartos para Venda/Aluguel 100m²,"Rua Luiz Pimentel, 152 - Boa Viagem, Recife - PE",100,3,4,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado']",5.700,"
                      R$ 730
                  "
"Apartamento com 3 Quartos para Aluguel, 75m²","Avenida Conde da Boa Vista - Boa Vista, Recife - PE",75,2,3,2,,1.800,
"Apartamento com 2 Quartos para Aluguel, 58m²","Rua Marquês de Alegrete, 137 - Pina, Recife - PE",58,2,2,1,"['Piscina', 'Elevador', 'Varanda', 'Academia', 'Condomínio fechado']",2.300,
"Apartamento com  Quarto para Aluguel, 35m²","Rua Dhália, 25 - Boa Viagem, Recife - PE",35,1,1,1,,1.700,
"Apartamento com 2 Quartos para Aluguel, 48m²","Rua Professora Anunciada da Rocha Melo, 25 - Madalena, Recife - PE",48,1,2,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado']",2.200,
"Apartamento com 4 Quartos para Aluguel, 363m²","Avenida Boa Viagem, 4610 - Boa Viagem, Recife - PE",363,2,4,3,"['Elevador', 'Ar-condicionado', 'Cozinha', 'Área de serviço', 'Interfone']",9.999,
"Apartamento com  Quarto para Aluguel, 40m²","Rua Aviador Severiano Lins - Boa Viagem, Recife - PE",40,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira']",1.800,
"Apartamento com 3 Quartos para Aluguel, 118m²","Avenida Conselheiro Rosa e Silva, 923 - Aflitos, Recife - PE",118,2,3,1,"['Quintal', 'Condomínio fechado', 'Aceita animais', 'Jardim', 'Área de serviço']",1.990,
"Apartamento com 3 Quartos para Aluguel, 80m²","Rua Dom José Lopes, 635 - Boa Viagem, Recife - PE",80,2,3,1,,1.600,
"Apartamento com 4 Quartos para Aluguel, 160m²","Rua Amaro Bezerra - Graças, Recife - PE",160,2,4,2,"['Piscina', 'Varanda', 'Churrasqueira', 'Quintal', 'Área de serviço']",2.780,"
                      R$ 1.200
                  "
Apartamento com 4 Quartos para Venda/Aluguel 147m²,"Boa Viagem, Recife - PE",147,4,4,2,"['Piscina', 'Elevador', 'Salão de festas', 'Jardim', 'Área de serviço']",5.800,
"Apartamento com 2 Quartos para Aluguel, 57m²","Rua Dois de Julho - Santo Amaro, Recife - PE",57,2,2,1,"['Piscina', 'Academia', 'Churrasqueira', 'Playground', 'Salão de festas']",2.100,
"Apartamento com 3 Quartos para Aluguel, 106m²","Rua Luiz Rodolfo de Araújo, 60 - Aflitos, Recife - PE",106,3,3,2,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira']",4.500,"
                      R$ 1
                  "
"Apartamento com 4 Quartos para Aluguel, 237m²","Avenida Boa Viagem, 2334 - Boa Viagem, Recife - PE",237,2,4,2,"['Mobiliado', 'Elevador', 'Condomínio fechado', 'Playground', 'Salão de festas']",10.000,"
                      R$ 2.000
                  "
Apartamento com 2 Quartos à Venda/Aluguel 55m²,"Rua Major Armando de Souza Melo, 601 - Boa Viagem, Recife - PE",55,1,2,2,"['Piscina', 'Mobiliado', 'Elevador', 'Varanda', 'Churrasqueira']",2.100,
"Apartamento com  Quarto para Aluguel, 35m²","Rua Maria Carolina, 55 - Boa Viagem, Recife - PE",35,1,1,1,,1.200,
"Apartamento com 3 Quartos para Aluguel, 77m²","Rua Amaro Albino Pimentel - Boa Viagem, Recife - PE",77,3,3,1,"['Piscina', 'Varanda', 'Churrasqueira', 'Área de serviço', 'Armário na cozinha']",2.300,"
                      R$ 629
                  "
"Apartamento com 2 Quartos para Aluguel, 50m²","Rua Hermílio Gomes, 92 - Campo Grande, Recife - PE",50,1,2,1,['Interfone'],1.200,
"Apartamento com  Quarto para Aluguel, 35m²","Rua da Amizade, 236 - Graças, Recife - PE",35,1,1,1,,2.000,
"Apartamento com 2 Quartos para Aluguel, 70m²","Avenida Mário Melo, 86 - Santo Amaro, Recife - PE",70,2,2,--,"['Elevador', 'Área de serviço', 'Interfone', 'Vista para o mar']",1.300,
"Apartamento com  Quarto para Aluguel, 31m²","Rua Nunes Machado, 47 - Soledade, Recife - PE",31,1,1,1,"['Piscina', 'Elevador', 'Garagem', 'Playground', 'Interfone']",1.800,
Apartamento com 4 Quartos à Venda/Aluguel 150m²,"Rua Irmã Maria David, 154 - Casa Forte, Recife - PE",150,5,4,3,"['Piscina', 'Elevador', 'Varanda', 'Academia', 'Churrasqueira']",5.500,"
                      R$ 1.250
                  "
"Apartamento com 2 Quartos para Aluguel, 54m²","Boa Viagem, Recife - PE",54,2,2,1,"['Mobiliado', 'Piscina', 'Garagem', 'Cozinha', 'Salão de jogos']",3.000,
"Casa com 11 Quartos para Aluguel, 10m²","Rua do Cupim, 70 - Graças, Recife - PE",10,4,11,4,"['Garagem', 'Quintal', 'Cozinha', 'Área de serviço']",7.900,
"Apartamento com  Quarto para Aluguel, 34m²","Rua Regueira Costa, 1 - Rosarinho, Recife - PE",34,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado']",1.900,
"Apartamento com 2 Quartos para Aluguel, 55m²","Rua José de Holanda, 485 - Torre, Recife - PE",55,2,2,2,"['Elevador', 'Garagem', 'Churrasqueira', 'Playground', 'Cozinha']",2.200,
"Apartamento com 3 Quartos para Aluguel, 81m²","Rua Antônio Falcão, 979 - Boa Viagem, Recife - PE",81,3,3,2,"['Mobiliado', 'Piscina', 'Elevador', 'Academia', 'Ar-condicionado']",4.500,
"Apartamento com 2 Quartos para Aluguel, 64m²","Rua dos Navegantes, 1455 - Boa Viagem, Recife - PE",64,1,2,2,"['Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira', 'Condomínio fechado']",3.000,
Apartamento com 2 Quartos para Venda/Aluguel 87m²,"Rua José Trajano - Boa Viagem, Recife - PE",87,2,2,--,,2.300,
"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Maria Carolina, 378 - Boa Viagem, Recife - PE",55,1,2,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira']",2.500,
"Apartamento com 2 Quartos para Aluguel, 59m²","Rua Antônio Falcão, 1013 - Boa Viagem, Recife - PE",59,2,2,1,"['Piscina', 'Elevador', 'Academia', 'Ar-condicionado', 'Churrasqueira']",2.500,
"Apartamento com 3 Quartos para Aluguel, 100m²","Boa Viagem, Recife - PE",100,2,3,1,"['Mobiliado', 'Elevador', 'Ar-condicionado', 'Área de serviço', 'Armário na cozinha']",3.449,
"Apartamento com 3 Quartos para Aluguel, 79m²","Rua Professor Souto Maior, 33 - Casa Amarela, Recife - PE",79,3,3,1,"['Piscina', 'Elevador', 'Academia', 'Ar-condicionado', 'Churrasqueira']",2.500,
"Apartamento com 4 Quartos para Aluguel, 355m²","Avenida Boa Viagem, 3136 - Boa Viagem, Recife - PE",355,5,4,4,"['Piscina', 'Elevador', 'Salão de festas', 'Jardim']",7.000,"
                      R$ 2.700
                  "
"Apartamento com 2 Quartos para Aluguel, 140m²","Rua Phaelante da Câmara, 67 - Boa Viagem, Recife - PE",140,2,2,2,"['Piscina', 'Elevador', 'Academia', 'Churrasqueira', 'Condomínio fechado']",5.000,
"Apartamento com  Quarto para Aluguel, 30m²","Boa Viagem, Recife - PE",30,1,1,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Churrasqueira']",1.599,
"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Maria Carolina - Boa Viagem, Recife - PE",55,2,2,1,"['Mobiliado', 'Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado']",2.500,
